"OID","HOSPCODE","TBLNAME","YEARMONTH","TOTAL","DATEUPDATE"
"2309","09347","PERSON","201406","17495","17/7/2014 19:21:59"
"2310","09348","PERSON","201406","12437","17/7/2014 19:21:59"
"2311","09349","PERSON","201406","7339","17/7/2014 19:21:59"
"2312","09350","PERSON","201406","18015","17/7/2014 19:21:59"
"2313","09351","PERSON","201406","10671","17/7/2014 19:21:59"
"2314","09352","PERSON","201406","12357","17/7/2014 19:21:59"
"2315","09353","PERSON","201406","6553","17/7/2014 19:21:59"
"2316","09354","PERSON","201406","9779","17/7/2014 19:21:59"
"2317","09355","PERSON","201406","16249","17/7/2014 19:21:59"
"2318","09356","PERSON","201406","8047","17/7/2014 19:21:59"
"2319","09357","PERSON","201406","8865","17/7/2014 19:21:59"
"2320","09358","PERSON","201406","15074","17/7/2014 19:21:59"
"2321","09359","PERSON","201406","9670","17/7/2014 19:21:59"
"2322","09360","PERSON","201406","13523","17/7/2014 19:21:59"
"2323","09361","PERSON","201406","12438","17/7/2014 19:21:59"
"2324","09362","PERSON","201406","6382","17/7/2014 19:21:59"
"2325","09363","PERSON","201406","7206","17/7/2014 19:21:59"
"2326","09364","PERSON","201406","5752","17/7/2014 19:21:59"
"2327","09365","PERSON","201406","8833","17/7/2014 19:21:59"
"2328","09366","PERSON","201406","10749","17/7/2014 19:21:59"
"2329","09367","PERSON","201406","5392","17/7/2014 19:21:59"
"2330","09368","PERSON","201406","7222","17/7/2014 19:21:59"
"2331","09369","PERSON","201406","4717","17/7/2014 19:21:59"
"2332","09370","PERSON","201406","8581","17/7/2014 19:21:59"
"2333","09371","PERSON","201406","11938","17/7/2014 19:21:59"
"2334","09372","PERSON","201406","6674","17/7/2014 19:21:59"
"2335","09373","PERSON","201406","11651","17/7/2014 19:21:59"
"2336","09374","PERSON","201406","10793","17/7/2014 19:21:59"
"2337","09375","PERSON","201406","11600","17/7/2014 19:21:59"
"2338","09376","PERSON","201406","9141","17/7/2014 19:21:59"
"2339","09377","PERSON","201406","6651","17/7/2014 19:21:59"
"2340","09378","PERSON","201406","4674","17/7/2014 19:21:59"
"2341","09379","PERSON","201406","6743","17/7/2014 19:21:59"
"2342","09380","PERSON","201406","14447","17/7/2014 19:21:59"
"2343","09381","PERSON","201406","2939","17/7/2014 19:21:59"
"2344","09382","PERSON","201406","14205","17/7/2014 19:21:59"
"2345","09383","PERSON","201406","11673","17/7/2014 19:21:59"
"2346","09384","PERSON","201406","4248","17/7/2014 19:21:59"
"2347","09385","PERSON","201406","11047","17/7/2014 19:21:59"
"2348","09386","PERSON","201406","4891","17/7/2014 19:21:59"
"2349","09387","PERSON","201406","3623","17/7/2014 19:21:59"
"2350","09388","PERSON","201406","3279","17/7/2014 19:21:59"
"2351","09389","PERSON","201406","5579","17/7/2014 19:21:59"
"2352","09391","PERSON","201406","10772","17/7/2014 19:21:59"
"2353","09392","PERSON","201406","3881","17/7/2014 19:21:59"
"2354","09393","PERSON","201406","5008","17/7/2014 19:21:59"
"2355","09394","PERSON","201406","5217","17/7/2014 19:21:59"
"2356","09395","PERSON","201406","12990","17/7/2014 19:21:59"
"2357","09396","PERSON","201406","9294","17/7/2014 19:21:59"
"2358","09397","PERSON","201406","3206","17/7/2014 19:21:59"
"2359","09398","PERSON","201406","7882","17/7/2014 19:21:59"
"2360","09399","PERSON","201406","7645","17/7/2014 19:21:59"
"2361","09400","PERSON","201406","3373","17/7/2014 19:21:59"
"2362","09401","PERSON","201406","7084","17/7/2014 19:21:59"
"2363","09402","PERSON","201406","4239","17/7/2014 19:21:59"
"2364","09403","PERSON","201406","5517","17/7/2014 19:21:59"
"2365","09404","PERSON","201406","9177","17/7/2014 19:21:59"
"2366","09405","PERSON","201406","8433","17/7/2014 19:21:59"
"2367","09406","PERSON","201406","11267","17/7/2014 19:21:59"
"2368","09407","PERSON","201406","11706","17/7/2014 19:21:59"
"2369","09408","PERSON","201406","5274","17/7/2014 19:21:59"
"2370","09409","PERSON","201406","6367","17/7/2014 19:21:59"
"2371","09410","PERSON","201406","6599","17/7/2014 19:21:59"
"2372","09411","PERSON","201406","8924","17/7/2014 19:21:59"
"2373","09412","PERSON","201406","6264","17/7/2014 19:21:59"
"2374","09413","PERSON","201406","7119","17/7/2014 19:21:59"
"2375","09414","PERSON","201406","5386","17/7/2014 19:21:59"
"2376","09415","PERSON","201406","13368","17/7/2014 19:21:59"
"2377","09416","PERSON","201406","4247","17/7/2014 19:21:59"
"2378","09417","PERSON","201406","6594","17/7/2014 19:21:59"
"2379","09418","PERSON","201406","8755","17/7/2014 19:21:59"
